"Freq [GHz]","dB(S(2,1)) []"
2,-33.7619503106431
2.16161616161616,-33.5915814100074
2.32323232323232,-33.4713105177841
2.48484848484848,-33.3886807866696
2.64646464646465,-33.3555229293672
2.80808080808081,-33.3375119518824
2.96969696969697,-33.3147628101418
3.13131313131313,-33.256392042565
3.29292929292929,-33.2038012444679
3.45454545454545,-33.1866505986388
3.61616161616162,-33.1767657273655
3.77777777777778,-33.199025899577
3.93939393939394,-33.222242226847
4.1010101010101,-33.1683603483504
4.26262626262626,-33.0837794663025
4.42424242424242,-33.1272889423749
4.58585858585859,-33.2807004268959
4.74747474747475,-33.4399132982326
4.90909090909091,-33.4527815350086
5.07070707070707,-33.3939771892187
5.23232323232323,-33.3105215196417
5.39393939393939,-33.1933483969637
5.55555555555556,-33.0902163160948
5.71717171717172,-33.0602794779739
5.87878787878788,-33.0625162475999
6.04040404040404,-33.0922664667249
6.2020202020202,-33.2641735107082
6.36363636363636,-33.4765867284222
6.52525252525253,-33.8943785472351
6.68686868686869,-34.4641385706589
6.84848484848485,-35.3228127474639
7.01010101010101,-37.059631586107
7.17171717171717,-39.0741848595738
7.33333333333333,-38.2612143050453
7.4949494949495,-101.795264758343
7.65656565656566,-101.31820245704
7.81818181818182,-100.922579066474
7.97979797979798,-100.568701472928
8.14141414141414,-100.19866019473
8.3030303030303,-99.84993991836
8.46464646464646,-99.5277667080784
8.62626262626263,-99.1994500938926
8.78787878787879,-98.8887013925028
8.94949494949495,-98.5597886894658
9.11111111111111,-98.2375627942637
9.27272727272727,-97.9396198305683
9.43434343434343,-97.7060794362889
9.5959595959596,-97.4242584222444
9.75757575757576,-97.1648800153445
9.91919191919192,-96.8817928583984
10.0808080808081,-96.565848168132
10.2424242424242,-96.2322276860449
10.4040404040404,-95.8895035462567
10.5656565656566,-95.5481718441862
10.7272727272727,-95.2151589841404
10.8888888888889,-94.8944531753212
11.0505050505051,-94.5943288267448
11.2121212121212,-94.3573721312251
11.3737373737374,-94.0982053901917
11.5353535353535,-93.8767669109407
11.6969696969697,-93.669461782087
11.8585858585859,-93.3973147630126
12.020202020202,-93.0929126343948
12.1818181818182,-92.8748480994356
12.3434343434343,-92.6632563275156
12.5050505050505,-92.4380668135046
12.6666666666667,-92.2223445100809
12.8282828282828,-92.0506828928876
12.989898989899,-91.9112468567105
13.1515151515152,-91.7710465357615
13.3131313131313,-91.6401554294031
13.4747474747475,-91.5349852886228
13.6363636363636,-91.5796501576693
13.7979797979798,-81.8134015666694
13.959595959596,-81.6714669027342
14.1212121212121,-81.5600804936172
14.2828282828283,-81.5104501430236
14.4444444444444,-81.5171741198863
14.6060606060606,-95.3907011248939
14.7676767676768,-95.6079390295741
14.9292929292929,-94.0400377609542
15.0909090909091,-92.2115881003416
15.2525252525253,-91.326093204601
15.4141414141414,-90.8296460735024
15.5757575757576,-90.4857473785223
15.7373737373737,-90.2937310056959
15.8989898989899,-90.233555859967
16.0606060606061,-90.1794226848312
16.2222222222222,-90.2312227522683
16.3838383838384,-90.3696718649555
16.5454545454545,-90.5410786849802
16.7070707070707,-90.7213158000034
16.8686868686869,-90.9162733514018
17.030303030303,-91.1898221080882
17.1919191919192,-91.524859874919
17.3535353535354,-91.9254803820437
17.5151515151515,-92.4113922546627
17.6767676767677,-93.057768394763
17.8383838383838,-93.6810002319769
18,-94.4656481825191
